Country	Overall	Work	Money	Knowledge	Time	Power	Health	Diff
EU28	65	71	78.4	62.8	68.9	43.5	87.2	3
BE	70.2	72.8	85.6	70.6	71.8	50.5	86.4	4.2
BG	56.9	68.7	60.5	51.9	47.4	49.4	75.8	0.9
CZ	56.7	65.3	74	57.7	55.5	32	85.7	3.1
DK	75.6	79.7	85.7	71.3	85.4	57.5	90.2	1
DE	64.9	70.6	84	57.1	67.8	46	89.4	4.9
EE	53.5	71.4	64.9	53.8	70.1	22	82.1	1.3
IE	67.7	73.7	84.4	67.7	76.5	40.7	90.4	5.8
GR	50.1	63.6	71.1	54.3	45.2	22.3	83.9	3.3
ES	67.4	72.3	76	64.2	65.8	52.9	89.1	5.2
FR	68.9	71.9	83.7	62.4	70.3	55.1	86.8	3.7
HR	52.6	68.3	68.9	48.5	54.7	27.3	82.8	2.3
IT	56.5	62.4	78.7	56.7	61.4	29.4	86.5	7.3
CY	50.6	68.9	81.7	58.2	45.9	17.4	87.1	4.7
LV	56.2	74.3	59.6	48.8	60.8	37.9	77.9	2.8
LT	54.2	72.6	64.3	54.7	55.7	27.7	79.6	-1.6
LU	65.9	72.5	92.1	68.7	71.5	34.9	90	1.5
HU	51.8	66.4	69.8	54.3	55.2	21.9	85.9	2.3
MT	57.8	68.2	80.6	66.3	58.7	25	91.6	1.8
NL	74	76.2	87	66.9	86.7	56.6	89.7	6.2
AT	61.3	75.6	83.6	59.9	65.3	30.8	91.5	1.8
PL	56.9	66.6	70.3	56.5	55.3	34.8	81.7	4.5
PT	54.4	71.4	71.7	54.9	46	29.7	84.4	4.5
RO	51.2	67.8	59.2	50.2	53.2	28.8	70.2	1.3
SI	66.1	71.3	81.3	54.9	72.4	51.5	87.3	5.3
SK	52.4	64.9	72.1	59.6	43.4	25.4	85	-0.1
FI	74.4	74.8	84.8	59.5	81	73.2	89.3	2.4
SE	79.7	81.4	85.3	70.9	83.5	75.2	93	0.9
GB	68.9	75.4	80.5	73.5	73.2	42	93.7	-2.3
