month	madrid	kaunas
JAN	6.61451612903226	-4.23174603174603
FEB	7.97619047619048	-3.92380952380952
MAR	10.8365079365079	-0.207936507936508
APR	13.2285714285714	6.22063492063492
MAY	17.2936507936508	12.2920634920635
JUN	22.1666666666667	15.647619047619
JUL	25.884126984127	17.5412698412698
AUG	25.4063492063492	16.6809523809524
SEP	21.3968253968254	12.047619047619
OCT	15.7365079365079	6.89047619047619
NOV	10.2677419354839	1.95714285714286
DEC	7.0741935483871	-1.98730158730159
