YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1995    7.2    9.6   11.4   14.4   19.8   22.9   27.0   26.2   19.0   17.8   12.7    9.2     8.0    15.2    25.4    16.5   16.27
1996    8.9    7.1   10.3   14.1   16.4   23.3   25.7   24.2   19.2   15.6   10.7    8.6     8.4    13.6    24.4    15.2   15.39
1997    7.6   10.3   13.8   16.4   17.6   20.8   24.2   25.7   23.2   18.1   11.0    7.9     8.8    15.9    23.6    17.4   16.44
1998    7.7   10.4   13.1   12.1   16.3   23.0   26.7   27.0   21.8   14.9   10.4    5.6     8.7    13.8    25.6    15.7   15.94
1999    6.1    7.5   11.0   13.8   18.2   22.5   26.6   25.7   20.9   16.2    8.7    6.8     6.4    14.3    24.9    15.3   15.23
2000    4.9    9.9   11.7   11.9   18.3   23.7   25.3   25.4   21.6   15.9   10.0    8.3     7.2    14.0    24.8    15.8   15.45
2001    8.0    8.8   13.0   13.6   17.3   23.8   24.6   26.1   20.9   17.0    8.4    3.9     8.4    14.6    24.8    15.4   15.82
2002    7.6    9.0   11.7   13.8   16.4   24.0   25.8   24.8   20.6   16.0   11.1    9.2     6.8    14.0    24.9    15.9   15.39
2003    7.0    7.3   12.4   14.0   18.9   26.0   26.4   27.5   22.2   15.2   11.2    7.2     7.8    15.1    26.6    16.2   16.44
2004    7.8    8.2    9.8   12.6   15.8   24.7   26.6   25.5   22.3   15.9    9.1    7.0     7.7    12.7    25.6    15.8   15.46
2005    4.9    5.0   10.6   14.1   19.2   26.0   27.5   26.2   20.9   16.2    8.7    5.9     5.6    14.6    26.6    15.3   15.53
2006    5.3    6.6   11.4   14.6   20.2   24.3   28.2   25.1   22.6   17.5   12.7    6.8     5.9    15.4    25.9    17.6   16.20
2007    6.5    9.5    9.9   13.4   16.5   20.9   25.4   24.7   21.7   15.5    8.7    5.9     7.6    13.3    23.7    15.3   14.96
2008    7.9    9.0   10.8   14.1   16.1   21.9   25.6   26.0   20.3   14.9    8.0    6.5     7.6    13.7    24.5    14.4   15.04
2009    5.2    7.7   11.7   12.3   19.4   24.3   26.8   27.5   21.7   17.7   12.3    7.3     6.5    14.5    26.2    17.2   16.09
2010    6.5    7.7    9.9   14.8   16.8   22.0   27.8   26.6   21.7   14.8    9.4    7.0     7.2    13.8    25.5    15.3   15.44
2011    7.1    9.0   10.7   16.8   19.4   23.1   25.4   26.2   22.5   17.5   12.0    7.1     7.7    15.6    24.9    17.3   16.39
2012    6.4    6.1   11.3   12.4   19.5   24.9   26.0   26.8   21.7   15.6   10.5    6.9     6.5    14.4    25.9    15.9   15.69
2013  999.9    7.2   10.3   12.9   15.2   21.1   26.7   26.3   22.2   16.5    9.4    5.8     6.7    12.8    24.7    16.0   15.07
2014    8.2    7.4   11.2   16.2   18.1   22.5   24.8   25.5   22.0   18.0   11.1    6.7     7.1    15.2    24.3    17.0   15.90
2015    5.5    6.8   10.7   14.3   19.6   24.4   30.2   26.1   20.5   15.6   11.7  999.9     6.3    14.9    26.9    15.9   16.01

