Country	Overall	Work	Money	Knowledge	Time	Power	Health
EU28	66.2	71.5	79.6	63.4	65.7	48.5	87.4
BE	70.5	73.8	87.5	71.1	65.3	53.4	86.3
BG	58	68.6	61.9	53.3	42.7	56	76.4
CZ	53.6	66.1	75.9	57.3	57.3	22.6	86
DK	76.8	79.2	86.6	73.6	83.1	61.5	89.6
DE	65.5	71.4	84.2	52.9	65	53	90.5
EE	56.7	72.1	66.7	53.2	74.7	28.2	81.5
IE	69.5	73.9	84.7	66.4	74.2	48.6	90.6
GR	50	64.2	70.7	55.6	44.7	21.7	83.1
ES	68.3	72.4	75.9	65.3	64	57	89.6
FR	72.6	72.1	86.1	66.1	67.3	68.2	87.1
HR	53.1	69.4	69.9	49.8	51	28.5	83.3
IT	62.1	62.4	78.6	61.4	59.3	45.3	86.3
CY	55.1	70.7	79.2	58.5	51.3	24.7	88.2
LV	57.9	73.6	64.3	48.9	65.8	39	78.4
LT	56.8	73.2	65.6	55.8	50.6	36.6	79.1
LU	69	74	94.4	69.4	69.1	43.5	89
HU	50.8	67.2	70.7	56.9	54.3	18.7	86
MT	60.1	71	82.4	65.2	64.2	27.4	91.8
NL	72.9	76.7	86.8	67.3	83.9	52.9	89.9
AT	63.3	76.1	85.9	63.2	61.2	34.9	91.7
PL	56.8	66.8	73.3	56	52.5	35.1	82.2
PT	56	72	70.9	54.8	47.5	33.9	83.6
RO	52.4	67.1	59.4	51.8	50.3	33.2	70.4
SI	68.4	71.8	81.6	55	72.9	60.6	87.7
SK	52.4	65.5	74	60	46.3	23.1	85.3
FI	73	74.7	86.4	61.3	77.4	65.3	89.7
SE	82.6	82.6	87.5	72.8	90.1	79.5	94.1
GB	71.5	76.6	81.2	71.8	69.9	53	93.1
